SNO,Gender,I am able to quickly adapt to changes in life,I trust others easily,I feel satisfied with my personal life,I feel satisfied with my school life,I feel responsible for doing well in my life,I feel confident about my body image,I can understand and respect others  viewpoints,I hesitate to ask questions in class,I find it difficult to initiate conversations,People in my life see me as a happy person,My teachers see me as a good leader,My friends consider me trustworthy,I give in to peer pressure to fit in,I worry that people do not  like me,I often find it difficult to stay focused during class,I have trouble finishing assignments or tasks on time,"I frequently forget things like assignments, books, or my personal items","I get distracted easily, even by things that aren't part of the task at hand",I often find myself daydreaming or thinking about unrelated things when I should be focusing,I have trouble sitting still or staying in one place for a long time,"I talk or move around excessively, even when it's not appropriate","I tend to act impulsively, without thinking about the consequences",I often interrupt others or have trouble waiting for my turn during conversations,I struggle with organizing tasks or managing my time effectively,"I often feel restless or find it hard to relax, even when I should be resting","When I'm asked to complete a task, I often start it but don't finish it","Do you often lose things necessary for tasks (e.g., books, pencils, assignments)?",I am satisfied with my academic performance,I am able to submit my assignments on time,What prevents you from doing well academically?,I feel anxious due to:,I feel valued when I perform well academically,I get bothered when teachers don't notice my efforts,I feel like I donât belong or fit in at school,I feel jealous of others who are more popular or successful,I don't enjoy group activities or school events,I find online classes better than offline classes,What challenges did you face during online classes?,I often feel happy,I often feel anxious,I often feel lonely or tearful,I feel hopeful during stressful situations,I can understand others feelings and respond accordingly,I get into fights with my classmates or friends,I skip school or classes without a good reason,I tend to lie or hide the truth to avoid trouble,I have trouble following rules or instructions,"When feeling low, I prefer:",I believe I can solve challenging tasks,I have people I can talk to about my feelings,I usually cope with stress by:,I feel satisfied with my eating habits,I skip meals intentionally,I eat even when I'm not hungry due to stress or emotions,I feel guilty after eating,I avoid eating in front of others,I worry excessively about gaining weight,I feel pressure to look a certain way because of social media or peers,I restrict food intake to control my weight,Do you think your eating habits affect your emotional or physical well-being?,I feel overwhelmed by my emotions,I have felt hopeless or helpless recently,I feel like life is not worth living,I have thoughts of hurting myself,I find it difficult to share my feelings with others,I take part  in risky activities,Stress Risk %,Depression Risk %,Eating Disorder Risk %,Behavioral Issues Risk %,Mental Health Risk %,Stress Classification,Depression Classification,Eating Disorder Classification,Behavioral Issues Classification,Predicted Risk %
250,Female,Often,Rarely,Never,Often,Sometimes,Sometimes,Rarely,Yes,Sometimes,Sometimes,Rarely,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Often,Often,Never,Always,Always,Often,Never,Rarely,Never,Sometimes,Lack of concentration,College admissions,No,No,yes,yes,No,No,Lack of time management  ,Sometimes,Never,Often,Never,No,Rarely,Never,Always,Often,Ignoring the feelings  ,Always,No,Yoga or meditation  ,Always,Sometimes,Rarely,Always,Often,Sometimes,Often,Never,Sometimes,Sometimes,Not Sure,Not Sure,Sometimes,Rarely,"Skipping classes, Bullying or getting into fights, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",50.0,35.0,50.0,66.66666666666666,50.416666666666664,Moderate Risk,Moderate Risk,Moderate Risk,High Risk,50.65625000000002
251,Male,Always,Sometimes,Always,Sometimes,Rarely,Always,Sometimes,Yes,Never,Always,Never,Always,Sometimes,Often,Often,Rarely,Always,Often,Never,Always,Sometimes,Rarely,Never,Rarely,Never,Always,Never,Always,Always,Distractions,Studies,No,yes,yes,No,No,No,Electricity/internet problems  ,Never,Sometimes,Always,Rarely,No,Never,Often,Always,Always,Talking to teachers  ,Never,Yes,Helping others  ,Rarely,Always,Sometimes,Sometimes,Sometimes,Rarely,Never,Sometimes,Sometimes,Sometimes,Not Sure,Not Sure,Sometimes,Always,"Skipping classes, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Running away from home",45.0,65.0,58.333333333333336,66.66666666666666,58.75,Moderate Risk,High Risk,Moderate Risk,High Risk,51.61458333333332
252,Prefer not to say,Rarely,Rarely,Always,Sometimes,Always,Always,Often,No,Always,Never,Rarely,Sometimes,Sometimes,Never,Often,Often,Never,Never,Sometimes,Always,Often,Often,Often,Always,Rarely,Always,Never,Rarely,Always,Poor study habits,Career,No,Yes,yes,yes,yes,No,Personal reasons  ,Often,Never,Often,Sometimes,No,Often,Never,Rarely,Often,Solving on my own  ,Sometimes,No,Changing the way I think  ,Rarely,Always,Rarely,Sometimes,Rarely,Always,Never,Never,Rarely,Sometimes,No,No,Often,Never,"Skipping classes, Avoiding homework or assignments intentionally",45.0,15.0,37.5,58.333333333333336,38.958333333333336,Moderate Risk,Low Risk,Moderate Risk,Moderate Risk,41.31041666666672
253,Male,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Sometimes,No,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Always,Often,Rarely,Often,Always,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Always,Rarely,Always,Sometimes,Rarely,Difficulty understanding content,Exams,No,Yes,yes,yes,No,No,Difficulty understanding content  ,Always,Sometimes,Always,Never,No,Never,Sometimes,Rarely,Rarely,Talking to parents  ,Always,Yes,Writing a diary  ,Often,Sometimes,Rarely,Rarely,Never,Often,Always,Rarely,Sometimes,Always,No,No,Always,Never,"Skipping classes, Driving without a license, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",85.0,30.0,29.166666666666668,16.666666666666664,40.20833333333333,High Risk,Moderate Risk,Low Risk,Low Risk,40.22500000000003
254,Female,Sometimes,Never,Always,Often,Often,Often,Sometimes,No,Never,Rarely,Never,Often,Never,Rarely,Sometimes,Rarely,Rarely,Often,Sometimes,Rarely,Rarely,Rarely,Never,Often,Often,Sometimes,Always,Never,Often,Difficulty managing time,I dont feel anxious,No,Yes,No,yes,No,Yes,Technical issues  ,Often,Never,Always,Rarely,No,Sometimes,Sometimes,Rarely,Often,Waiting for things to improve  ,Always,Yes,Watching TV  ,Rarely,Sometimes,Rarely,Never,Always,Always,Rarely,Always,Always,Sometimes,No,No,Skip,Sometimes,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Driving without a license, Stealing or shoplifting, Using weapons or carrying dangerous objects that could hurt others",55.00000000000001,30.0,62.5,50.0,49.375,Moderate Risk,Moderate Risk,High Risk,Moderate Risk,49.275
255,Prefer not to say,Sometimes,Rarely,Often,Rarely,Often,Rarely,Always,Yes,Rarely,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Often,Never,Rarely,Often,Often,Often,Often,Sometimes,Lack of concentration,Exams,No,Yes,No,No,yes,Yes,Electricity/internet problems  ,Sometimes,Rarely,Often,Rarely,No,Rarely,Never,Rarely,Always,Talking to friends  ,Sometimes,No,Yoga or meditation  ,Often,Never,Often,Often,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Not Sure,Not Sure,Rarely,Rarely,"Experimenting with substances I try alcohol, smoking, or other substances, Running away from home, Using weapons or carrying dangerous objects that could hurt others",40.0,30.0,45.83333333333333,50.0,41.45833333333333,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,43.406250000000036
256,Female,Never,Often,Never,Always,Sometimes,Rarely,Never,No,Sometimes,Sometimes,Rarely,Often,Sometimes,Never,Always,Always,Sometimes,Rarely,Sometimes,Never,Never,Sometimes,Always,Sometimes,Often,Never,Never,Never,Always,Distractions,Studies,Yes,Yes,yes,No,yes,No,Lack of time management  ,Rarely,Often,Rarely,Often,No,Never,Rarely,Sometimes,Always,Ignoring the feelings  ,Always,Yes,Helping others  ,Sometimes,Sometimes,Never,Rarely,Never,Never,Often,Sometimes,Rarely,Often,Not Sure,Not Sure,Skip,Never,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Using weapons or carrying dangerous objects that could hurt others",50.0,35.0,25.0,50.0,40.0,Moderate Risk,Moderate Risk,Low Risk,Moderate Risk,43.11041666666668
257,Male,Never,Always,Rarely,Never,Never,Always,Often,Yes,Sometimes,Rarely,Always,Rarely,Sometimes,Always,Often,Sometimes,Often,Rarely,Always,Sometimes,Often,Rarely,Sometimes,Never,Never,Never,Never,Rarely,Sometimes,Difficulty understanding content,Career,No,Yes,yes,yes,No,No,Lack of social interaction  ,Often,Often,Often,Often,No,Never,Rarely,Rarely,Often,Talking to teachers  ,Always,No,Changing the way I think  ,Never,Never,Never,Often,Never,Never,Rarely,Often,Often,Always,Not Sure,Not Sure,Sometimes,Sometimes,"Skipping classes, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Running away from home, Using weapons or carrying dangerous objects that could hurt others",55.00000000000001,45.0,37.5,33.33333333333333,42.70833333333333,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,44.531250000000036
258,Male,Never,Sometimes,Rarely,Always,Rarely,Rarely,Always,Yes,Rarely,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Always,Rarely,Often,Sometimes,Always,Often,Sometimes,Sometimes,Sometimes,Always,Never,Rarely,Sometimes,Sometimes,Poor study habits,Results,Yes,Yes,No,yes,No,Yes,Personal reasons  ,Never,Always,Sometimes,Sometimes,No,Sometimes,Rarely,Sometimes,Always,Solving on my own  ,Rarely,No,Writing a diary  ,Sometimes,Always,Rarely,Rarely,Never,Always,Sometimes,Never,Rarely,Rarely,Yes,Yes,Skip,Skip,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally",65.0,65.0,29.166666666666668,66.66666666666666,56.45833333333333,High Risk,High Risk,Low Risk,High Risk,55.220833333333296
259,Male,Never,Often,Rarely,Always,Sometimes,Often,Often,Yes,Often,Sometimes,Sometimes,Rarely,Sometimes,Always,Rarely,Always,Never,Always,Sometimes,Rarely,Always,Always,Sometimes,Often,Often,Sometimes,Often,Sometimes,Always,Difficulty managing time,College admissions,Yes,Yes,yes,yes,No,No,Technical issues  ,Rarely,Sometimes,Rarely,Often,Yes,Often,Often,Never,Always,Talking to parents  ,Sometimes,Yes,Watching TV  ,Never,Sometimes,Rarely,Always,Rarely,Never,Rarely,Sometimes,Sometimes,Rarely,No,No,Never,Always,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",25.0,35.0,50.0,58.333333333333336,42.083333333333336,Low Risk,Moderate Risk,Moderate Risk,Moderate Risk,45.13125
260,Female,Often,Often,Sometimes,Sometimes,Often,Always,Often,No,Never,Never,Often,Sometimes,Always,Rarely,Never,Always,Never,Rarely,Sometimes,Often,Never,Always,Often,Always,Often,Never,Sometimes,Sometimes,Rarely,Lack of concentration,I dont feel anxious,Yes,No,yes,No,No,Yes,Difficulty understanding content  ,Always,Sometimes,Sometimes,Never,No,Sometimes,Rarely,Always,Never,Talking to friends  ,Never,No,Yoga or meditation  ,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Never,Always,Yes,Yes,Never,Skip,"Skipping classes, Bullying or getting into fights, Driving without a license, Stealing or shoplifting",65.0,55.00000000000001,33.33333333333333,50.0,50.83333333333333,High Risk,Moderate Risk,Moderate Risk,Moderate Risk,52.09166666666666
261,Prefer not to say,Sometimes,Sometimes,Always,Never,Rarely,Rarely,Never,No,Never,Rarely,Always,Often,Often,Sometimes,Sometimes,Never,Rarely,Often,Often,Always,Often,Always,Always,Always,Never,Never,Rarely,Often,Rarely,Distractions,College admissions,Yes,No,yes,yes,yes,Yes,Lack of social interaction  ,Always,Sometimes,Sometimes,Rarely,No,Never,Never,Never,Rarely,Waiting for things to improve  ,Always,Yes,Helping others  ,Always,Rarely,Often,Always,Always,Always,Often,Never,Often,Often,No,No,Often,Never,"Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",70.0,15.0,62.5,8.333333333333332,38.958333333333336,High Risk,Low Risk,High Risk,Low Risk,38.71875000000003
262,Female,Sometimes,Rarely,Often,Rarely,Always,Often,Never,Sometimes,Never,Always,Rarely,Always,Never,Always,Sometimes,Never,Often,Rarely,Never,Never,Often,Sometimes,Rarely,Always,Rarely,Rarely,Rarely,Always,Often,Difficulty understanding content,Exams,Yes,No,yes,yes,yes,No,Electricity/internet problems  ,Never,Never,Always,Always,No,Sometimes,Never,Rarely,Often,Ignoring the feelings  ,Sometimes,Yes,Changing the way I think  ,Never,Never,Sometimes,Rarely,Rarely,Often,Always,Always,Rarely,Rarely,Yes,Yes,Often,Always,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",60.0,75.0,37.5,50.0,55.625,High Risk,High Risk,Moderate Risk,Moderate Risk,55.318749999999994
263,Female,Sometimes,Often,Never,Rarely,Always,Always,Always,No,Always,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Always,Rarely,Often,Often,Never,Always,Poor study habits,Results,No,Yes,No,yes,yes,Yes,Personal reasons  ,Never,Often,Sometimes,Rarely,No,Never,Often,Sometimes,Always,Talking to teachers  ,Always,Yes,Writing a diary  ,Often,Always,Often,Never,Sometimes,Sometimes,Often,Never,Often,Never,Not Sure,Not Sure,Skip,Rarely,"Skipping classes, Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Running away from home, Using weapons or carrying dangerous objects that could hurt others",50.0,50.0,50.0,50.0,50.0,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,49.77083333333333
264,Prefer not to say,Often,Sometimes,Never,Always,Sometimes,Rarely,Never,Yes,Often,Never,Rarely,Never,Always,Never,Always,Rarely,Sometimes,Sometimes,Rarely,Always,Rarely,Rarely,Never,Always,Sometimes,Often,Often,Rarely,Sometimes,Difficulty managing time,Studies,No,No,yes,yes,No,No,Lack of time management  ,Always,Always,Never,Always,Yes,Often,Often,Rarely,Never,Talking to friends  ,Never,No,Watching TV  ,Sometimes,Often,Never,Often,Often,Never,Rarely,Sometimes,Often,Rarely,No,No,Often,Skip,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",30.0,40.0,58.333333333333336,33.33333333333333,40.41666666666667,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,42.17499999999996
265,Male,Often,Rarely,Never,Rarely,Rarely,Sometimes,Often,Yes,Sometimes,Rarely,Never,Often,Often,Rarely,Never,Sometimes,Often,Often,Never,Rarely,Sometimes,Often,Often,Never,Always,Often,Rarely,Sometimes,Always,Lack of concentration,Career,No,yes,No,No,yes,No,Difficulty understanding content  ,Never,Often,Always,Often,Yes,Always,Rarely,Sometimes,Always,Solving on my own  ,Always,No,Yoga or meditation  ,Always,Sometimes,Never,Often,Always,Often,Sometimes,Often,Often,Rarely,No,No,Rarely,Always,"Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally",65.0,30.0,62.5,83.33333333333334,60.208333333333336,High Risk,Moderate Risk,High Risk,High Risk,59.18749999999997
266,Female,Rarely,Always,Rarely,Rarely,Always,Often,Rarely,No,Rarely,Always,Never,Often,Rarely,Sometimes,Sometimes,Often,Rarely,Often,Sometimes,Sometimes,Never,Sometimes,Never,Often,Always,Often,Often,Never,Never,Distractions,I dont feel anxious,Yes,No,yes,No,yes,No,Technical issues  ,Always,Sometimes,Sometimes,Rarely,Yes,Always,Always,Rarely,Always,Waiting for things to improve  ,Always,No,Helping others  ,Always,Rarely,Often,Rarely,Often,Rarely,Rarely,Often,Often,Never,Not Sure,Not Sure,Often,Rarely,"Skipping classes, Stealing or shoplifting",30.0,60.0,58.333333333333336,75.0,55.833333333333336,Moderate Risk,High Risk,Moderate Risk,High Risk,56.287499999999994
267,Male,Often,Often,Rarely,Often,Sometimes,Sometimes,Often,Yes,Always,Sometimes,Always,Often,Always,Never,Often,Never,Never,Always,Always,Never,Rarely,Always,Rarely,Rarely,Always,Never,Often,Often,Never,Difficulty understanding content,Exams,No,Yes,yes,yes,yes,No,Personal reasons  ,Rarely,Sometimes,Often,Never,No,Always,Often,Rarely,Often,Talking to parents  ,Sometimes,Yes,Writing a diary  ,Rarely,Always,Sometimes,Always,Never,Always,Always,Always,Often,Sometimes,Not Sure,Not Sure,Sometimes,Skip,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Driving without a license, Running away from home, Using weapons or carrying dangerous objects that could hurt others",75.0,55.00000000000001,70.83333333333334,66.66666666666666,66.875,High Risk,Moderate Risk,High Risk,High Risk,57.60833333333334
268,Female,Never,Sometimes,Sometimes,Always,Often,Often,Always,No,Rarely,Often,Always,Sometimes,Always,Often,Never,Never,Sometimes,Never,Never,Often,Always,Rarely,Often,Sometimes,Always,Rarely,Sometimes,Often,Sometimes,Poor study habits,College admissions,No,Yes,yes,yes,No,No,Lack of time management  ,Never,Rarely,Always,Rarely,Yes,Always,Sometimes,Always,Sometimes,Ignoring the feelings  ,Sometimes,No,Changing the way I think  ,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Often,Often,Rarely,Sometimes,Not Sure,Not Sure,Always,Sometimes,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",60.0,60.0,37.5,83.33333333333334,60.208333333333336,High Risk,High Risk,Moderate Risk,High Risk,58.81041666666663
269,Male,Sometimes,Always,Sometimes,Rarely,Never,Never,Never,Yes,Often,Often,Rarely,Always,Rarely,Never,Always,Often,Never,Rarely,Always,Rarely,Never,Often,Often,Often,Always,Never,Rarely,Never,Always,Distractions,Career,No,yes,No,No,No,Yes,Electricity/internet problems  ,Sometimes,Sometimes,Never,Never,Yes,Often,Rarely,Always,Always,Talking to teachers  ,Sometimes,No,Watching TV  ,Always,Often,Sometimes,Never,Often,Always,Always,Always,Always,Sometimes,No,No,Often,Skip,"Bullying or getting into fights, Driving without a license, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",60.0,30.0,66.66666666666666,91.66666666666666,62.08333333333333,High Risk,Moderate Risk,High Risk,High Risk,58.06458333333331
270,Male,Always,Often,Rarely,Always,Sometimes,Often,Rarely,No,Always,Rarely,Always,Often,Often,Often,Never,Always,Never,Never,Rarely,Sometimes,Always,Rarely,Always,Never,Never,Always,Sometimes,Sometimes,Often,Difficulty managing time,Studies,No,No,yes,yes,No,Yes,Lack of social interaction  ,Always,Never,Always,Often,Yes,Sometimes,Always,Sometimes,Sometimes,Talking to parents  ,Never,No,Yoga or meditation  ,Always,Always,Never,Never,Often,Sometimes,Often,Never,Sometimes,Never,Yes,Yes,Rarely,Often,"Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license",45.0,80.0,37.5,50.0,53.125,Moderate Risk,High Risk,Moderate Risk,Moderate Risk,51.9875
271,Prefer not to say,Sometimes,Never,Often,Sometimes,Always,Often,Never,Yes,Always,Never,Never,Often,Never,Never,Sometimes,Often,Never,Often,Often,Rarely,Often,Always,Sometimes,Rarely,Always,Always,Often,Rarely,Sometimes,Lack of concentration,Results,Yes,Yes,yes,yes,yes,Yes,Difficulty understanding content  ,Always,Sometimes,Always,Sometimes,Yes,Often,Always,Never,Often,Solving on my own  ,Often,No,Helping others  ,Rarely,Rarely,Rarely,Sometimes,Always,Never,Sometimes,Always,Often,Rarely,Yes,Yes,Sometimes,Sometimes,"Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally",45.0,80.0,62.5,50.0,59.375,Moderate Risk,High Risk,High Risk,Moderate Risk,58.19583333333333
272,Prefer not to say,Sometimes,Rarely,Never,Often,Sometimes,Often,Rarely,Yes,Never,Rarely,Never,Never,Often,Sometimes,Always,Sometimes,Rarely,Often,Rarely,Always,Often,Always,Sometimes,Often,Often,Never,Rarely,Sometimes,Often,Poor study habits,I dont feel anxious,Yes,yes,No,yes,yes,No,Personal reasons  ,Always,Often,Sometimes,Rarely,No,Rarely,Often,Always,Rarely,Waiting for things to improve  ,Often,No,Changing the way I think  ,Rarely,Always,Always,Rarely,Sometimes,Rarely,Always,Often,Sometimes,Always,Yes,Yes,Never,Often,"Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Running away from home, Using weapons or carrying dangerous objects that could hurt others",70.0,70.0,66.66666666666666,50.0,64.16666666666666,High Risk,High Risk,High Risk,Moderate Risk,60.700000000000045
273,Prefer not to say,Sometimes,Always,Sometimes,Rarely,Often,Never,Often,No,Often,Often,Often,Sometimes,Rarely,Always,Rarely,Never,Always,Sometimes,Always,Often,Never,Always,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Difficulty understanding content,Studies,No,yes,No,yes,yes,No,Technical issues  ,Sometimes,Often,Never,Often,Yes,Rarely,Never,Always,Often,Talking to friends  ,Often,Yes,Writing a diary  ,Rarely,Rarely,Never,Never,Always,Rarely,Rarely,Always,Always,Sometimes,No,No,Never,Always,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",35.0,20.0,54.166666666666664,66.66666666666666,43.95833333333333,Moderate Risk,Low Risk,Moderate Risk,High Risk,45.08541666666669
